,C27002_001E,NAME,state,public use microdata area,Unnamed: 4
118,122528,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",36,4104,
119,196130,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",36,4105,
120,156470,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",36,4106,
121,140091,"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",36,4107,
122,115501,"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",36,4108,
123,139888,"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",36,4109,
124,163499,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",36,4110,
125,147896,"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",36,4111,
126,226795,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",36,4112,
127,133096,"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",36,4113,
128,124457,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",36,4114,
129,108646,"St. Lawrence County PUMA, New York",36,100,
130,164146,"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",36,200,
131,124801,"Warren & Washington Counties PUMA, New York",36,300,
132,119053,"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",36,401,
133,153438,"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",36,402,
134,110504,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",36,403,
135,134002,"Jefferson & Lewis Counties PUMA, New York",36,500,
136,120859,"Oswego County PUMA, New York",36,600,
137,140828,"Onondaga County (Central)--Syracuse City PUMA, New York",36,701,
138,124350,"Onondaga County (North) PUMA, New York",36,702,
139,159597,"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",36,703,
140,112431,"Cayuga & Onondaga (South) Counties PUMA, New York",36,704,
141,124305,"Wayne & Seneca Counties PUMA, New York",36,800,
142,130997,"Monroe County (East) PUMA, New York",36,901,
143,107700,"Monroe County (Central)--Rochester City (East) PUMA, New York",36,902,
144,99765,"Monroe County (Central)--Rochester City (West) PUMA, New York",36,903,
