,B00001_001E,NAME,state,public use microdata area,Unnamed: 4
124,2424,"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",36,4012,
125,2576,"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",36,4013,
126,3282,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",36,4014,
127,2486,"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",36,4015,
128,2837,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",36,4016,
129,3480,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",36,4017,
130,1503,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",36,4018,
131,2954,"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",36,4101,
132,2306,"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",36,4102,
133,3752,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",36,4103,
134,2275,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",36,4104,
135,3697,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",36,4105,
136,2294,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",36,4106,
137,1698,"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",36,4107,
138,1699,"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",36,4108,
139,1945,"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",36,4109,
140,3183,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",36,4110,
141,3163,"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",36,4111,
142,4310,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",36,4112,
143,2290,"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",36,4113,
144,1646,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",36,4114,
